"Meteor Mash",STEEL,PHYSICAL,90,90%,10-16,"Has a 20% chance to raise the user's Attack by 1 stage."
"Metronome",NORMAL,STATUS,n/a,—,10-16,"A random move is selected for use, other than After You, Apple Acid, Armor Cannon, Assist, Astral Barrage, Aura Wheel, Baneful Bunker, Beak Blast, Behemoth Bash, Behemoth Blade, Belch, Bestow, Blazing Torque, Body Press, Branch Poke, Breaking Swipe, Celebrate, Chatter, Chilling Water, Chilly Reception, Clangorous Soul, Collision Course, Combat Torque, Comeuppance, Copycat, Counter, Covet, Crafty Shield, Decorate, Destiny Bond, Detect, Diamond Storm, Doodle, Double Iron Bash, Double Shock, Dragon Ascent, Dragon Energy, Drum Beating, Dynamax Cannon, Electro Drift, Endure, Eternabeam, False Surrender, Feint, Fiery Wrath, Fillet Away, Fleur Cannon, Focus Punch, Follow Me, Freeze Shock, Freezing Glare, Glacial Lance, Grav Apple, Helping Hand, Hold Hands, Hyper Drill, Hyperspace Fury, Hyperspace Hole, Ice Burn, Instruct, Jet Punch, Jungle Healing, King's Shield, Life Dew, Light of Ruin, Magical Torque, Make It Rain, Mat Block, Me First, Meteor Assault, Metronome, Mimic, Mind Blown, Mirror Coat, Mirror Move, Moongeist Beam, Nature Power, Nature's Madness, Noxious Torque, Obstruct, Order Up, Origin Pulse, Overdrive, Photon Geyser, Plasma Fists, Population Bomb, Pounce, Power Shift, Precipice Blades, Protect, Pyro Ball, Quash, Quick Guard, Rage Fist, Rage Powder, Raging Bull, Raging Fury, Relic Song, Revival Blessing, Ruination, Salt Cure, Secret Sword, Shed Tail, Shell Trap, Silk Trap, Sketch, Sleep Talk, Snap Trap, Snarl, Snatch, Snore, Snowscape, Spectral Thief, Spicy Extract, Spiky Shield, Spirit Break, Spotlight, Springtide Storm, Steam Eruption, Steel Beam, Strange Steam, Struggle, Sunsteel Strike, Surging Strikes, Switcheroo, Techno Blast, Tera Starstorm, Thief, Thousand Arrows, Thousand Waves, Thunder Cage, Thunderous Kick, Tidy Up, Trailblaze, Transform, Trick, Twin Beam, V-create, Wicked Blow, Wicked Torque, or Wide Guard."
"Mighty Cleave",ROCK,PHYSICAL,95,100%,5-8,"Bypasses protection without breaking it."
"Milk Drink",NORMAL,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half up."
"Mimic",NORMAL,STATUS,n/a,—,10-16,"While the user remains active, this move is replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, if the user already knows the move, or if the move is Assist, Behemoth Bash, Behemoth Blade, Belch, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Tera Starstorm, Transform, or Wicked Torque."
"Mind Blown",FIRE,SPECIAL,150,100%,5-8,"Whether or not this move is successful and even if it would cause fainting, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard Ability. This move is prevented from executing and the user does not lose HP if any active Pokemon has the Damp Ability, or if this move is Fire type and the user is affected by Powder or the weather is Primordial Sea."
"Mind Reader",NORMAL,STATUS,n/a,—,5-8,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. The effect ends if either the user or the target leaves the field. Fails if this effect is active for the user."
"Minimize",NORMAL,STATUS,n/a,—,10-16,"Raises the user's evasiveness by 2 stages. Whether or not the user's evasiveness was changed, Body Slam, Dragon Rush, Flying Press, Heat Crash, Heavy Slam, Malicious Moonsault, Steamroller, and Stomp will not check accuracy and have their damage doubled if used against the user while it is active."
"Miracle Eye",PSYCHIC,STATUS,n/a,—,40-64,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Psychic-type attacks can hit the target if it is a Dark type. Fails if the target is already affected, or affected by Foresight or Odor Sleuth."
"Mirror Coat",PSYCHIC,SPECIAL,—,100%,20-32,"Nearly always moves last (priority −5)."
"Mirror Move",FLYING,STATUS,n/a,—,20-32,"The user uses the last move used by the target. The copied move is used against that target, if possible. Fails if the target has not made a move, or if the last move used cannot be copied by this move."
"Mirror Shot",STEEL,SPECIAL,65,85%,10-16,"Has a 30% chance to lower the target's accuracy by 1 stage."
"Mist",ICE,STATUS,n/a,—,30-48,"For 5 turns, the user and its party members are protected from having their stat stages lowered by other Pokemon. Fails if the effect is already active on the user's side."
"Mist Ball",PSYCHIC,SPECIAL,95,100%,5-8,"Has a 50% chance to lower the target's Special Attack by 1 stage."
"Misty Explosion",FAIRY,SPECIAL,100,100%,5-8,"If the current terrain is Misty Terrain and the user is grounded, this move's power is multiplied by 1.5. The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability."
"Misty Terrain",FAIRY,STATUS,n/a,—,10-16,"For 5 turns, the terrain becomes Misty Terrain. During the effect, the power of Dragon-type attacks used against grounded Pokemon is multiplied by 0.5 and grounded Pokemon cannot be inflicted with a non-volatile status condition nor confusion. Grounded Pokemon can become affected by Yawn but cannot fall asleep from its effect. Camouflage transforms the user into a Fairy type, Nature Power becomes Moonblast, and Secret Power has a 30% chance to lower Special Attack by 1 stage. Fails if the current terrain is Misty Terrain."
"Moonblast",FAIRY,SPECIAL,95,100%,15-24,"Has a 30% chance to lower the target's Special Attack by 1 stage."
"Moongeist Beam",GHOST,SPECIAL,100,100%,5-8,"This move and its effects ignore the Abilities of other Pokemon."
"Moonlight",FAIRY,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP if Delta Stream or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Desolate Land or Sunny Day, and 1/4 of its maximum HP if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow, all rounded half down."
"Morning Sun",NORMAL,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP if Delta Stream or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Desolate Land or Sunny Day, and 1/4 of its maximum HP if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow, all rounded half down."
"Mortal Spin",POISON,PHYSICAL,30,100%,15-24,"If this move is successful and the user has not fainted, the effects of Leech Seed and binding moves end for the user, and all hazards are removed from the user's side of the field. Has a 100% chance to poison the target."
"Mountain Gale",ICE,PHYSICAL,100,85%,10-16,"Has a 30% chance to make the target flinch."
"Mud Bomb",GROUND,SPECIAL,65,85%,10-16,"Has a 30% chance to lower the target's accuracy by 1 stage."
"Mud Shot",GROUND,SPECIAL,55,95%,15-24,"Has a 100% chance to lower the target's Speed by 1 stage."
"Mud-Slap",GROUND,SPECIAL,20,100%,10-16,"Has a 100% chance to lower the target's accuracy by 1 stage."
"Mud Sport",GROUND,STATUS,n/a,—,15-24,"For 5 turns, all Electric-type attacks used by any active Pokemon have their power multiplied by 0.33. Fails if this effect is already active."
"Muddy Water",WATER,SPECIAL,90,85%,10-16,"Has a 30% chance to lower the target's accuracy by 1 stage."
"Multi-Attack",NORMAL,PHYSICAL,120,100%,10-16,"This move's type depends on the user's held Memory."
"Mystical Fire",FIRE,SPECIAL,75,100%,10-16,"Has a 100% chance to lower the target's Special Attack by 1 stage."
"Mystical Power",PSYCHIC,SPECIAL,70,90%,10-16,"Has a 100% chance to raise the user's Special Attack by 1 stage."
"Nasty Plot",DARK,STATUS,n/a,—,20-32,"Raises the user's Special Attack by 2 stages."
"Natural Gift",NORMAL,PHYSICAL,—,100%,15-24,"The type and power of this move depend on the user's held Berry, and the Berry is lost. Fails if the user is not holding a Berry, if the user has the Klutz Ability, or if Embargo or Magic Room is in effect for the user."
"Nature Power",NORMAL,STATUS,n/a,—,20-32,"This move calls another move for use based on the battle terrain. Tri Attack on the regular Wi-Fi terrain, Thunderbolt during Electric Terrain, Moonblast during Misty Terrain, Energy Ball during Grassy Terrain, and Psychic during Psychic Terrain."
"Nature's Madness",FAIRY,SPECIAL,—,90%,10-16,"Deals damage to the target equal to half of its current HP, rounded down, but not less than 1 HP."
"Needle Arm",GRASS,PHYSICAL,60,100%,15-24,"Has a 30% chance to make the target flinch."
"Never-Ending Nightmare",GHOST,PHYSICAL,1,—,1,"[Z-Move] requiring Ghostium Z"
"Night Daze",DARK,SPECIAL,85,95%,10-16,"Has a 40% chance to lower the target's accuracy by 1 stage."
"Nightmare",GHOST,STATUS,n/a,100%,15-24,"Causes the target to lose 1/4 of its maximum HP, rounded down, at the end of each turn as long as it is asleep. This move does not affect the target unless it is asleep. The effect ends when the target wakes up, even if it falls asleep again in the same turn."
"Night Shade",GHOST,SPECIAL,—,100%,15-24,"Deals damage to the target equal to the user's level."
"Night Slash",DARK,PHYSICAL,70,100%,15-24,"Has a higher chance for a critical hit."
"Noble Roar",NORMAL,STATUS,n/a,100%,30-48,"Lowers the target's Attack and Special Attack by 1 stage."
"No Retreat",FIGHTING,STATUS,n/a,—,5-8,"Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage, but it becomes prevented from switching out. The user can still switch out if it uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the user leaves the field using Baton Pass, the replacement will remain trapped. Fails if the user has already been prevented from switching by this effect."
"Noxious Torque",POISON,PHYSICAL,100,100%,10-16,"Has a 30% chance to poison the target."
"Nuzzle",ELECTRIC,PHYSICAL,20,100%,20-32,"Has a 100% chance to paralyze the target."
"Oblivion Wing",FLYING,SPECIAL,80,100%,10-16,"The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Obstruct",DARK,STATUS,n/a,100%,10-16,"Nearly always moves first (priority +4)."
"Oceanic Operetta",WATER,SPECIAL,195,—,1,"[Z-Move] requiring Primarium Z"
"Octazooka",WATER,SPECIAL,65,85%,10-16,"Has a 50% chance to lower the target's accuracy by 1 stage."
"Octolock",FIGHTING,STATUS,n/a,100%,15-24,"Prevents the target from switching out. At the end of each turn during effect, the target's Defense and Special Defense are lowered by 1 stage. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Odor Sleuth",NORMAL,STATUS,n/a,—,40-64,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type. Fails if the target is already affected, or affected by Foresight or Miracle Eye."
"Ominous Wind",GHOST,SPECIAL,60,100%,5-8,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
"Order Up",DRAGON,PHYSICAL,80,100%,10-16,"If an ally Tatsugiri has activated its Commander Ability, this move raises the user's Attack by 1 stage if the Tatsugiri is Curly Form, Defense by 1 stage if Droopy Form, or Speed by 1 stage if Stretchy Form. The effect happens whether or not this move is successful, and even if the Tatsugiri that activated the effect has since fainted."
"Origin Pulse",WATER,SPECIAL,110,85%,10-16,"No additional effect."
"Outrage",DRAGON,PHYSICAL,120,100%,10-16,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"Overdrive",ELECTRIC,SPECIAL,80,100%,10-16,"No additional effect."
"Overheat",FIRE,SPECIAL,130,90%,5-8,"Lowers the user's Special Attack by 2 stages."
"Pain Split",NORMAL,STATUS,n/a,—,20-32,"The user and the target's HP become the average of their current HP, rounded down, but not more than the maximum HP of either one."
"Paleo Wave",ROCK,SPECIAL,85,100%,15-24,"Has a 20% chance to lower the target's Attack by 1 stage."
"Parabolic Charge",ELECTRIC,SPECIAL,65,100%,20-32,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Parting Shot",DARK,STATUS,n/a,100%,20-32,"Lowers the target's Attack and Special Attack by 1 stage. If this move is successful, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if the target's Attack and Special Attack stat stages were both unchanged, or if there are no unfainted party members."
"Payback",DARK,PHYSICAL,50,100%,10-16,"Power doubles if the user moves after the target this turn, including actions taken through Instruct or the Dancer Ability. Switching in does not count as an action."
"Pay Day",NORMAL,PHYSICAL,40,100%,20-32,"No additional effect."
"Peck",FLYING,PHYSICAL,35,100%,35-56,"No additional effect."
"Perish Song",NORMAL,STATUS,n/a,—,5-8,"Each active Pokemon receives a perish count of 4 if it doesn't already have a perish count. At the end of each turn including the turn used, the perish count of all active Pokemon lowers by 1 and Pokemon faint if the number reaches 0. The perish count is removed from Pokemon that switch out. If a Pokemon uses Baton Pass while it has a perish count, the replacement will gain the perish count and continue to count down."
"Petal Blizzard",GRASS,PHYSICAL,90,100%,15-24,"No additional effect."
"Petal Dance",GRASS,SPECIAL,120,100%,10-16,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"Phantom Force",GHOST,PHYSICAL,90,100%,10-16,"If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks. If the user is holding a Power Herb, the move completes in one turn."
"Photon Geyser",PSYCHIC,SPECIAL,100,100%,5-8,"This move becomes a physical attack if the user's Attack is greater than its Special Attack, including stat stage changes. This move and its effects ignore the Abilities of other Pokemon."
"Pika Papow",ELECTRIC,SPECIAL,—,—,20-32,"Power is equal to the greater of (user's Happiness * 2/5), rounded down, or 1."
"Pin Missile",BUG,PHYSICAL,25,95%,20-32,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Plasma Fists",ELECTRIC,PHYSICAL,100,100%,15-24,"If this move is successful, causes Normal-type moves to become Electric type this turn."
"Play Nice",NORMAL,STATUS,n/a,—,20-32,"Lowers the target's Attack by 1 stage."
"Play Rough",FAIRY,PHYSICAL,90,90%,10-16,"Has a 10% chance to lower the target's Attack by 1 stage."
"Pluck",FLYING,PHYSICAL,60,100%,20-32,"If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Poison Fang",POISON,PHYSICAL,50,100%,15-24,"Has a 50% chance to badly poison the target."
"Poison Gas",POISON,STATUS,n/a,90%,40-64,"Poisons the target."
"Poison Jab",POISON,PHYSICAL,80,100%,20-32,"Has a 30% chance to poison the target."
"Poison Powder",POISON,STATUS,n/a,75%,35-56,"Poisons the target."
"Poison Sting",POISON,PHYSICAL,15,100%,35-56,"Has a 30% chance to poison the target."
"Poison Tail",POISON,PHYSICAL,50,100%,25-40,"Has a 10% chance to poison the target and a higher chance for a critical hit."
"Pollen Puff",BUG,SPECIAL,90,100%,15-24,"If the target is an ally, this move restores 1/2 of its maximum HP, rounded down, instead of dealing damage."
"Poltergeist",GHOST,PHYSICAL,110,90%,5-8,"Fails if the target has no held item."
"Population Bomb",NORMAL,PHYSICAL,20,90%,10-16,"Hits ten times. This move checks accuracy for each hit, and the attack ends if the target avoids a hit. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit ten times. If the user is holding Loaded Dice, this move hits four to ten times at random without checking accuracy between hits."
"Pounce",BUG,PHYSICAL,50,100%,20-32,"Has a 100% chance to lower the target's Speed by 1 stage."
"Pound",NORMAL,PHYSICAL,40,100%,35-56,"No additional effect."
"Powder",BUG,STATUS,n/a,100%,20-32,"Usually moves first (priority +1)."
"Powder Snow",ICE,SPECIAL,40,100%,25-40,"Has a 10% chance to freeze the target."
"Power Gem",ROCK,SPECIAL,80,100%,20-32,"No additional effect."
"Power Shift",NORMAL,STATUS,n/a,—,10-16,"The user swaps its Attack and Defense stats, and stat stage changes remain on their respective stats. This move can be used again to swap the stats back. If the user uses Baton Pass, the replacement will have its Attack and Defense stats swapped if the effect is active. If the user has its stats recalculated by changing forme while its stats are swapped, this effect is ignored but is still active for the purposes of Baton Pass."
"Power Split",PSYCHIC,STATUS,n/a,—,10-16,"The user and the target have their Attack and Special Attack stats set to be equal to the average of the user and the target's Attack and Special Attack stats, respectively, rounded down. Stat stage changes are unaffected."
"Power Swap",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps its Attack and Special Attack stat stage changes with the target."
"Power Trick",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps its Attack and Defense stats, and stat stage changes remain on their respective stats. This move can be used again to swap the stats back. If the user uses Baton Pass, the replacement will have its Attack and Defense stats swapped if the effect is active. If the user has its stats recalculated by changing forme while its stats are swapped, this effect is ignored but is still active for the purposes of Baton Pass."
"Power Trip",DARK,PHYSICAL,20,100%,10-16,"Power is equal to 20+(X*20), where X is the user's total stat stage changes that are greater than 0."
"Power-Up Punch",FIGHTING,PHYSICAL,40,100%,20-32,"Has a 100% chance to raise the user's Attack by 1 stage."
"Power Whip",GRASS,PHYSICAL,120,85%,10-16,"No additional effect."
"Precipice Blades",GROUND,PHYSICAL,120,85%,10-16,"No additional effect."
"Present",NORMAL,PHYSICAL,—,90%,15-24,"If this move is successful, it deals damage or heals the target. 40% chance for 40 power, 30% chance for 80 power, 10% chance for 120 power, and 20% chance to heal the target by 1/4 of its maximum HP, rounded down."
"Prismatic Laser",PSYCHIC,SPECIAL,160,100%,10-16,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Protect",NORMAL,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Psybeam",PSYCHIC,SPECIAL,65,100%,20-32,"Has a 10% chance to confuse the target."
"Psyblade",PSYCHIC,PHYSICAL,80,100%,15-24,"If the current terrain is Electric Terrain, this move's power is multiplied by 1.5."
"Psych Up",NORMAL,STATUS,n/a,—,10-16,"The user copies all of the target's current stat stage changes."
"Psychic",PSYCHIC,SPECIAL,90,100%,10-16,"More"
"Psychic Fangs",PSYCHIC,PHYSICAL,85,100%,10-16,"If this attack does not miss, the effects of Reflect, Light Screen, and Aurora Veil end for the target's side of the field before damage is calculated."
"Psychic Noise",PSYCHIC,SPECIAL,75,100%,10-16,"For 2 turns, the target is prevented from restoring any HP as long as it remains active. During the effect, healing and draining moves are unusable, and Abilities and items that grant healing will not heal the user. If an affected Pokemon uses Baton Pass, the replacement will remain unable to restore its HP. Pain Split and the Regenerator Ability are unaffected."
"Psychic Terrain",PSYCHIC,STATUS,n/a,—,10-16,"For 5 turns, the terrain becomes Psychic Terrain. During the effect, the power of Psychic-type attacks made by grounded Pokemon is multiplied by 1.3 and grounded Pokemon cannot be hit by moves with priority greater than 0, unless the target is an ally. Camouflage transforms the user into a Psychic type, Nature Power becomes Psychic, and Secret Power has a 30% chance to lower the target's Speed by 1 stage. Fails if the current terrain is Psychic Terrain."
"Psycho Boost",PSYCHIC,SPECIAL,140,90%,5-8,"Lowers the user's Special Attack by 2 stages."
"Psycho Cut",PSYCHIC,PHYSICAL,70,100%,20-32,"Has a higher chance for a critical hit."
"Psycho Shift",PSYCHIC,STATUS,n/a,100%,10-16,"The user's non-volatile status condition is transferred to the target, and the user is then cured. Fails if the user has no non-volatile status condition or if the target already has one."
"Psyshield Bash",PSYCHIC,PHYSICAL,70,90%,10-16,"Has a 100% chance to raise the user's Defense by 1 stage."
"Psyshock",PSYCHIC,SPECIAL,80,100%,10-16,"Deals damage to the target based on its Defense instead of Special Defense."
"Psystrike",PSYCHIC,SPECIAL,100,100%,10-16,"Deals damage to the target based on its Defense instead of Special Defense."
"Psywave",PSYCHIC,SPECIAL,—,100%,15-24,"Deals damage to the target equal to (user's level) * (X + 50) / 100, where X is a random number from 0 to 100, rounded down, but not less than 1 HP."
"Pulverizing Pancake",NORMAL,PHYSICAL,210,—,1,"[Z-Move] requiring Snorlium Z"
"Punishment",DARK,PHYSICAL,—,100%,5-8,"Power is equal to 60+(X*20), where X is the target's total stat stage changes that are greater than 0, but not more than 200 power."
"Purify",POISON,STATUS,n/a,—,20-32,"The target is cured if it has a non-volatile status condition. If the target was cured, the user restores 1/2 of its maximum HP, rounded down."
"Pursuit",DARK,PHYSICAL,40,100%,20-32,"If an opposing Pokemon switches out this turn, this move hits that Pokemon before it leaves the field, even if it was not the original target. If the user moves after an opponent using Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch, but not Baton Pass, it will hit that opponent before it leaves the field. Power doubles and no accuracy check is done if the user hits an opponent switching out, and the user's turn is over; if an opponent faints from this, the replacement Pokemon does not become active until the end of the turn."
"Pyro Ball",FIRE,PHYSICAL,120,90%,5-8,"Has a 10% chance to burn the target."
"Quash",DARK,STATUS,n/a,100%,15-24,"Causes the target to take its turn after all other Pokemon this turn, no matter the priority of its selected move. Fails if the target already moved this turn."
"Quick Attack",NORMAL,PHYSICAL,40,100%,30-48,"Usually moves first (priority +1)."
"Quick Guard",FIGHTING,STATUS,n/a,—,15-24,"Nearly always moves first (priority +3)."
"Quiver Dance",BUG,STATUS,n/a,—,20-32,"Raises the user's Special Attack, Special Defense, and Speed by 1 stage."
"Rage",NORMAL,PHYSICAL,20,100%,20-32,"Once this move is successfully used, the user's Attack is raised by 1 stage every time it is hit by another Pokemon's attack as long as this move is chosen for use."
"Rage Fist",GHOST,PHYSICAL,50,100%,10-16,"Power is equal to 50+(X*50), where X is the total number of times the user has been hit by a damaging attack during the battle, even if the user did not lose HP from the attack. X cannot be greater than 6 and does not reset upon switching out or fainting. Each hit of a multi-hit attack is counted, but confusion damage is not counted."
"Rage Powder",BUG,STATUS,n/a,—,20-32,"Nearly always moves first (priority +2)."
"Raging Bull",NORMAL,PHYSICAL,90,100%,10-16,"If this attack does not miss, the effects of Reflect, Light Screen, and Aurora Veil end for the target's side of the field before damage is calculated. If the user's current form is a Paldean Tauros, this move's type changes to match. Fighting type for Combat Breed, Fire type for Blaze Breed, and Water type for Aqua Breed."
"Raging Fury",FIRE,PHYSICAL,120,100%,10-16,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"Rain Dance",WATER,STATUS,n/a,—,5-8,"For 5 turns, the weather becomes Rain Dance. The damage of Water-type attacks is multiplied by 1.5 and the damage of Fire-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Damp Rock. Fails if the current weather is Rain Dance."
"Rapid Spin",NORMAL,PHYSICAL,50,100%,40-64,"If this move is successful and the user has not fainted, the effects of Leech Seed and binding moves end for the user, and all hazards are removed from the user's side of the field. Has a 100% chance to raise the user's Speed by 1 stage."
"Razor Leaf",GRASS,PHYSICAL,55,95%,25-40,"Has a higher chance for a critical hit."
"Razor Shell",WATER,PHYSICAL,75,95%,10-16,"Has a 50% chance to lower the target's Defense by 1 stage."
"Razor Wind",NORMAL,SPECIAL,80,100%,10-16,"Has a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"Recover",NORMAL,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half up."
"Recycle",NORMAL,STATUS,n/a,—,10-16,"The user regains the item it last used. Fails if the user is holding an item, if the user has not held an item, if the item was a popped Air Balloon, if the item was picked up by a Pokemon with the Pickup Ability, or if the item was lost to Bug Bite, Corrosive Gas, Covet, Incinerate, Knock Off, Pluck, or Thief. Items thrown with Fling can be regained."
"Reflect",PSYCHIC,STATUS,n/a,—,20-32,"For 5 turns, the user and its party members take 0.5x damage from physical attacks, or 0.66x damage if in a Double Battle. Damage is not reduced further with Aurora Veil. Critical hits ignore this effect. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Lasts for 8 turns if the user is holding Light Clay. Fails if the effect is already active on the user's side."
"Reflect Type",NORMAL,STATUS,n/a,—,15-24,"Causes the user's types to become the same as the current types of the target. If the target's current types include typeless and a non-added type, typeless is ignored. If the target's current types include typeless and an added type from Forest's Curse or Trick-or-Treat, typeless is copied as the Normal type instead. Fails if the user is an Arceus or a Silvally, if the user is Terastallized, or if the target's current type is typeless alone."
"Refresh",NORMAL,STATUS,n/a,—,20-32,"The user cures its burn, poison, or paralysis. Fails if the user is not burned, poisoned, or paralyzed."
"Relic Song",NORMAL,SPECIAL,75,100%,10-16,"Has a 10% chance to cause the target to fall asleep. If this move is successful on at least one target and the user is a Meloetta, it changes to Pirouette Forme if it is currently in Aria Forme, or changes to Aria Forme if it is currently in Pirouette Forme. This forme change does not happen if the Meloetta has the Sheer Force Ability. The Pirouette Forme reverts to Aria Forme when Meloetta is not active."
"Rest",PSYCHIC,STATUS,n/a,—,5-8,"The user falls asleep for the next two turns and restores all of its HP, curing itself of any non-volatile status condition in the process. Fails if the user has full HP, is already asleep, or if another effect is preventing sleep."
"Retaliate",NORMAL,PHYSICAL,70,100%,5-8,"Power doubles if one of the user's party members fainted last turn."
"Return",NORMAL,PHYSICAL,—,100%,20-32,"Power is equal to the greater of (user's Happiness * 2/5), rounded down, or 1."
"Revelation Dance",NORMAL,SPECIAL,90,100%,15-24,"This move's type depends on the user's primary type. If the user's primary type is typeless, this move's type is the user's secondary type if it has one, otherwise the added type from Forest's Curse or Trick-or-Treat. This move is typeless if the user's type is typeless alone."
"Revenge",FIGHTING,PHYSICAL,60,100%,10-16,"Nearly always moves last (priority −4)."
"Reversal",FIGHTING,PHYSICAL,—,100%,15-24,"The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down."
"Revival Blessing",NORMAL,STATUS,n/a,—,1,"A fainted party member is selected and revived with 1/2 its max HP, rounded down. Fails if there are no fainted party members."
"Rising Voltage",ELECTRIC,SPECIAL,70,100%,20-32,"If the current terrain is Electric Terrain and the target is grounded, this move's power is doubled."
"Roar",NORMAL,STATUS,n/a,—,20-32,"Nearly always moves last (priority −6)."
"Roar of Time",DRAGON,SPECIAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Rock Blast",ROCK,PHYSICAL,25,90%,10-16,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Rock Climb",NORMAL,PHYSICAL,90,85%,20-32,"Has a 20% chance to confuse the target."
"Rock Polish",ROCK,STATUS,n/a,—,20-32,"Raises the user's Speed by 2 stages."
"Rock Slide",ROCK,PHYSICAL,75,90%,10-16,"Has a 30% chance to make the target flinch."
"Rock Smash",FIGHTING,PHYSICAL,40,100%,15-24,"Has a 50% chance to lower the target's Defense by 1 stage."
"Rock Throw",ROCK,PHYSICAL,50,90%,15-24,"No additional effect."
"Rock Tomb",ROCK,PHYSICAL,60,95%,15-24,"Has a 100% chance to lower the target's Speed by 1 stage."
